구분,이탈리아어,한국어 뜻,성별,예문,예문 번역
읽기 어휘,assaporare,맛보다,-,È necessario assaporare questo compito.,이 작업을 맛보다는 것이 필요합니다.
관련 어휘,frigorifero,냉장고,m,Il frigorifero è fondamentale per il successo.,frigorifero(은)는 성공을 위해 필수적입니다.
관련 어휘,pentola,남비,f,La pentola italiana è molto famosa.,이탈리아의 pentola(은)는 매우 유명합니다.
관련 어휘,congelatore,냉동고,m,Il congelatore è fondamentale per il successo.,congelatore(은)는 성공을 위해 필수적입니다.
관련 어휘,padella,프라이팬,f,La padella italiana è molto famosa.,이탈리아의 padella(은)는 매우 유명합니다.
관련 어휘,forno,오븐,m,Il forno è fondamentale per il successo.,forno(은)는 성공을 위해 필수적입니다.
관련 어휘,tagliere,도마,-,È necessario tagliere questo compito.,이 작업을 도마는 것이 필요합니다.
관련 어휘,lavastoviglie,식기세척기,-,È necessario lavastoviglie questo compito.,이 작업을 식기세척기는 것이 필요합니다.
관련 어휘,teglia,로스팅 판,f,La teglia italiana è molto famosa.,이탈리아의 teglia(은)는 매우 유명합니다.
관련 어휘,schiaccianoci,견과류 껍질제거기,-,È necessario schiaccianoci questo compito.,이 작업을 견과류 껍질제거기는 것이 필요합니다.
관련 어휘,grattugia,강판,f,La grattugia italiana è molto famosa.,이탈리아의 grattugia(은)는 매우 유명합니다.
관련 어휘,tostapane,토스터기,-,È necessario tostapane questo compito.,이 작업을 토스터기는 것이 필요합니다.
관련 어휘,mattarello,롤링 밀대,m,Il mattarello è fondamentale per il successo.,mattarello(은)는 성공을 위해 필수적입니다.
관련 어휘,frullatore,믹서기,m,Il frullatore è fondamentale per il successo.,frullatore(은)는 성공을 위해 필수적입니다.
관련 어휘,cavatappi,와인따개,-,È necessario cavatappi questo compito.,이 작업을 와인따개는 것이 필요합니다.
관련 어휘,imbutto,깔대기,m,Il imbutto è fondamentale per il successo.,imbutto(은)는 성공을 위해 필수적입니다.
관련 어휘,mestolo,국자,m,Il mestolo è fondamentale per il successo.,mestolo(은)는 성공을 위해 필수적입니다.
관련 어휘,scolapasta,"채, 채반",f,La scolapasta italiana è molto famosa.,이탈리아의 scolapasta(은)는 매우 유명합니다.
관련 어휘,vassoio,쟁반,m,Il vassoio è fondamentale per il successo.,vassoio(은)는 성공을 위해 필수적입니다.
관련 어휘,caffettiera,가정용 커피기구,f,La caffettiera italiana è molto famosa.,이탈리아의 caffettiera(은)는 매우 유명합니다.
관련 어휘,coltello,나이프,m,Il coltello è fondamentale per il successo.,coltello(은)는 성공을 위해 필수적입니다.
관련 어휘,piatto,접시,m,Il piatto è fondamentale per il successo.,piatto(은)는 성공을 위해 필수적입니다.
관련 어휘,forchetta,포크,f,La forchetta italiana è molto famosa.,이탈리아의 forchetta(은)는 매우 유명합니다.
관련 어휘,cucchiaio,숫가락,m,Il cucchiaio è fondamentale per il successo.,cucchiaio(은)는 성공을 위해 필수적입니다.
관련 어휘,bicchiere,컵,-,È necessario bicchiere questo compito.,이 작업을 컵는 것이 필요합니다.
관련 어휘,tazza,잔,f,La tazza italiana è molto famosa.,이탈리아의 tazza(은)는 매우 유명합니다.
관련 어휘,zuccheriera,설탕통,f,La zuccheriera italiana è molto famosa.,이탈리아의 zuccheriera(은)는 매우 유명합니다.
관련 어휘,teiera,차용 주전자,f,La teiera italiana è molto famosa.,이탈리아의 teiera(은)는 매우 유명합니다.
관련 어휘,caraffa,물병,f,La caraffa italiana è molto famosa.,이탈리아의 caraffa(은)는 매우 유명합니다.
대화문 어휘,nessuno,등이며 수동문에서 이 주어들은 등장하지 않는다.,m,Il nessuno è fondamentale per il successo.,nessuno(은)는 성공을 위해 필수적입니다.
읽기 어휘,caratterizzare,특징지우다,-,È necessario caratterizzare questo compito.,이 작업을 특징지우다는 것이 필요합니다.
읽기 어휘,dinamica,프로세스,f,La dinamica italiana è molto famosa.,이탈리아의 dinamica(은)는 매우 유명합니다.
읽기 어휘,approfondire,깊이있게 다루다,-,È necessario approfondire questo compito.,이 작업을 깊이있게 다루다는 것이 필요합니다.
읽기 어휘,duputati,하원,-,È necessario duputati questo compito.,이 작업을 하원는 것이 필요합니다.
읽기 어휘,senato,상원,m,Il senato è fondamentale per il successo.,senato(은)는 성공을 위해 필수적입니다.
읽기 어휘,votare,투표하다,-,È necessario votare questo compito.,이 작업을 투표하다는 것이 필요합니다.
읽기 어휘,rappresentante,대표자,-,È necessario rappresentante questo compito.,이 작업을 대표자는 것이 필요합니다.
읽기 어휘,criticare,비난하다,-,È necessario criticare questo compito.,이 작업을 비난하다는 것이 필요합니다.
읽기 어휘,lentezza,느림,f,La lentezza italiana è molto famosa.,이탈리아의 lentezza(은)는 매우 유명합니다.
읽기 어휘,inefficienza,비효율,f,La inefficienza italiana è molto famosa.,이탈리아의 inefficienza(은)는 매우 유명합니다.
읽기 어휘,sollevare,들어올리다,-,È necessario sollevare questo compito.,이 작업을 들어올리다는 것이 필요합니다.
읽기 어휘,burocrazia,관료주의,f,La burocrazia italiana è molto famosa.,이탈리아의 burocrazia(은)는 매우 유명합니다.
읽기 어휘,corruzione,부패,f,La corruzione italiana è molto famosa.,이탈리아의 corruzione(은)는 매우 유명합니다.
읽기 어휘,funzionamento,기능,m,Il funzionamento è fondamentale per il successo.,funzionamento(은)는 성공을 위해 필수적입니다.
읽기 어휘,istituzione,기관,f,La istituzione italiana è molto famosa.,이탈리아의 istituzione(은)는 매우 유명합니다.
읽기 어휘,coalizione,연합 제휴,f,La coalizione italiana è molto famosa.,이탈리아의 coalizione(은)는 매우 유명합니다.
읽기 어휘,ministro,장관,m,Il ministro è fondamentale per il successo.,ministro(은)는 성공을 위해 필수적입니다.
읽기 어휘,nominare,임명하다,-,È necessario nominare questo compito.,이 작업을 임명하다는 것이 필요합니다.
읽기 어휘,subire,"감수하다, 겪다",-,È necessario subire questo compito.,"이 작업을 감수하다, 겪다는 것이 필요합니다."
읽기 어휘,riforma,개혁,f,La riforma italiana è molto famosa.,이탈리아의 riforma(은)는 매우 유명합니다.
읽기 어휘,efficienza,효율,f,La efficienza italiana è molto famosa.,이탈리아의 efficienza(은)는 매우 유명합니다.
읽기 어휘,trasparenza,투명성,f,La trasparenza italiana è molto famosa.,이탈리아의 trasparenza(은)는 매우 유명합니다.
읽기 어휘,garantire,보장하다,-,È necessario garantire questo compito.,이 작업을 보장하다는 것이 필요합니다.
관련 어휘,Governo,정부,m,Il Governo è fondamentale per il successo.,Governo(은)는 성공을 위해 필수적입니다.
관련 어휘,popolo,국민,m,Il popolo è fondamentale per il successo.,popolo(은)는 성공을 위해 필수적입니다.
관련 어휘,Primo ministro,총리,m,Il Primo ministro è fondamentale per il successo.,Primo ministro(은)는 성공을 위해 필수적입니다.
관련 어휘,democrazia,민주주의,f,La democrazia italiana è molto famosa.,이탈리아의 democrazia(은)는 매우 유명합니다.
관련 어휘,sicurezza,안전,f,La sicurezza italiana è molto famosa.,이탈리아의 sicurezza(은)는 매우 유명합니다.
관련 어휘,elezioni,선출,-,È necessario elezioni questo compito.,이 작업을 선출는 것이 필요합니다.
관련 어휘,sinistra destra centro,"좌, 우, 중도",m,Il sinistra destra centro è fondamentale per il successo.,sinistra destra centro(은)는 성공을 위해 필수적입니다.
관련 어휘,partito,정당,m,Il partito è fondamentale per il successo.,partito(은)는 성공을 위해 필수적입니다.
관련 어휘,Ministero,국가부처,m,Il Ministero è fondamentale per il successo.,Ministero(은)는 성공을 위해 필수적입니다.
관련 어휘,emergenza,긴급상황,f,La emergenza italiana è molto famosa.,이탈리아의 emergenza(은)는 매우 유명합니다.
관련 어휘,cittadino,시민,m,Il cittadino è fondamentale per il successo.,cittadino(은)는 성공을 위해 필수적입니다.
관련 어휘,gabinetto,내각,m,Il gabinetto è fondamentale per il successo.,gabinetto(은)는 성공을 위해 필수적입니다.
관련 어휘,deputati,하원의원,-,È necessario deputati questo compito.,이 작업을 하원의원는 것이 필요합니다.
관련 어휘,senatori,상원의원,-,È necessario senatori questo compito.,이 작업을 상원의원는 것이 필요합니다.
관련 어휘,Capo dello Stato,국가의 장,m,Il Capo dello Stato è fondamentale per il successo.,Capo dello Stato(은)는 성공을 위해 필수적입니다.
관련 어휘,Capo del Governo,정부의 장,m,Il Capo del Governo è fondamentale per il successo.,Capo del Governo(은)는 성공을 위해 필수적입니다.
관련 어휘,Parlamento,국회,m,Il Parlamento è fondamentale per il successo.,Parlamento(은)는 성공을 위해 필수적입니다.
관련 어휘,parlamentari,국회의원,-,È necessario parlamentari questo compito.,이 작업을 국회의원는 것이 필요합니다.
관련 어휘,conferenza stampa,기자회견,f,La conferenza stampa italiana è molto famosa.,이탈리아의 conferenza stampa(은)는 매우 유명합니다.
관련 어휘,Assemblea Nazionale,국회회의,-,È necessario Assemblea Nazionale questo compito.,이 작업을 국회회의는 것이 필요합니다.
관련 어휘,amministrazione,행정,f,La amministrazione italiana è molto famosa.,이탈리아의 amministrazione(은)는 매우 유명합니다.
관련 어휘,Consiglio di Stato,국무회의,m,Il Consiglio di Stato è fondamentale per il successo.,Consiglio di Stato(은)는 성공을 위해 필수적입니다.
읽기 어휘,impronta,족적,f,La impronta italiana è molto famosa.,이탈리아의 impronta(은)는 매우 유명합니다.
읽기 어휘,significativo,의미있는,m,Il significativo è fondamentale per il successo.,significativo(은)는 성공을 위해 필수적입니다.
읽기 어휘,altrove,다른 곳에,-,È necessario altrove questo compito.,이 작업을 다른 곳에는 것이 필요합니다.
읽기 어휘,migliore,더나은,m,Il migliore è fondamentale per il successo.,migliore(은)는 성공을 위해 필수적입니다.
읽기 어휘,ondata,물결,f,La ondata italiana è molto famosa.,이탈리아의 ondata(은)는 매우 유명합니다.
읽기 어휘,migratorio,이주의,m,Il migratorio è fondamentale per il successo.,migratorio(은)는 성공을 위해 필수적입니다.
읽기 어휘,destinazione,목적지,f,La destinazione italiana è molto famosa.,이탈리아의 destinazione(은)는 매우 유명합니다.
읽기 어휘,trasformarsi,변형되다,-,È necessario trasformarsi questo compito.,이 작업을 변형되다는 것이 필요합니다.
읽기 어휘,popolare,인기있는,-,È necessario popolare questo compito.,이 작업을 인기있는는 것이 필요합니다.
읽기 어휘,stabilirsi,정착하다,-,È necessario stabilirsi questo compito.,이 작업을 정착하다는 것이 필요합니다.
읽기 어휘,motivazione,이유,f,La motivazione italiana è molto famosa.,이탈리아의 motivazione(은)는 매우 유명합니다.
읽기 어휘,affligere,괴롭히다,-,È necessario affligere questo compito.,이 작업을 괴롭히다는 것이 필요합니다.
읽기 어휘,prospettiva,전망,f,La prospettiva italiana è molto famosa.,이탈리아의 prospettiva(은)는 매우 유명합니다.
읽기 어휘,spingere,떠밀다,-,È necessario spingere questo compito.,이 작업을 떠밀다는 것이 필요합니다.
읽기 어휘,fuga,도망,f,La fuga italiana è molto famosa.,이탈리아의 fuga(은)는 매우 유명합니다.
